cycle     valid           data_out_1        data_out_2  
681       1         0000000010111000  1111111111101001  
682       0                     ----              ----  
683       0                     ----              ----  
684       0                     ----              ----  
685       0                     ----              ----  
686       0                     ----              ----  
687       0                     ----              ----  
688       0                     ----              ----  
689       1         1111111111011000  1111110010111000  
690       0                     ----              ----  
691       1         0000001101000001  0000011111000101  
692       1         0000001101010110  1100010111011100  
693       0                     ----              ----  
694       0                     ----              ----  
695       1         0011001100011001  1110011110110001  
696       0                     ----              ----  
697       1         0000000011111000  1111111010001100  
698       1         1111110101101100  0010110111111010  
699       1         1111111011101000  1110100001100000  
700       0                     ----              ----  
701       0                     ----              ----  
702       1         1111111000100100  0010111001111100  
703       1         0010101000111010  1111111000110100  
704       1         0001101110101000  0000100011101000  
705       0                     ----              ----  
706       0                     ----              ----  
707       1         0000000110010100  0000000000000000  
708       0                     ----              ----  
709       1         0000010111101000  0000001101001000  
710       1         1111111010000110  0010110101001000  
711       1         1110111101001000  0000000011010110  
712       1         1111111100101010  1111111111000000  
713       0                     ----              ----  
714       1         0000000000010000  0000000011010100  
715       0                     ----              ----  
716       1         1101100101101000  0011000011000000  
717       1         0000001101110010  0011110010001010  
718       1         1111111101110110  0000000000001100  
719       1         0000001100011110  1111111010010100  
720       1         0011011001100011  0000000111011100  
721       1         1111110010110001  0010111101000100  
722       1         0000000110110000  0000000010010000  
723       0                     ----              ----  
724       1         1111110110001010  1111101110101101  
725       1         1101111101001001  0000000011001001  
726       1         1111110100011010  0000001011100110  
727       1         1110010110111000  1111001100010110  
728       1         0000011010101110  1111111010000100  
729       1         0000011110010010  0000100100110100  
730       0                     ----              ----  
731       1         0000000000000000  0000000000000000  
732       0                     ----              ----  
733       0                     ----              ----  
734       1         0011001001000110  0011000101011100  
735       1         1111000001000111  1111100110010011  
736       1         1100110110110000  0000100001010000  
737       1         1111101010111000  0010000110111000  
738       0                     ----              ----  
739       0                     ----              ----  
740       0                     ----              ----  
741       1         0000001010001000  1111110010100000  
742       1         0011000111001110  0000000011001100  
743       0                     ----              ----  
744       1         1111111100111100  0000101011010100  
745       1         1111111000011010  0000001010011010  
746       0                     ----              ----  
747       0                     ----              ----  
748       0                     ----              ----  
749       1         0000000000111010  1111011110011110  
750       1         1101010000001011  1111111110000111  
751       0                     ----              ----  
752       0                     ----              ----  
753       1         0011010011011010  1101000001101111  
754       0                     ----              ----  
755       1         1101000110100111  1111001101001001  
756       1         0000001011100010  1101111100000010  
757       0                     ----              ----  
758       1         0001000011111011  1110001010110111  
759       1         1111110001001111  1111110111101101  
760       1         0001100000010000  1110100100111010  
761       1         1101010101100100  0010101101110100  
762       0                     ----              ----  
763       1         1110101110000100  0000110011110000  
764       0                     ----              ----  
765       0                     ----              ----  
766       1         1111110000011000  0011110010001100  
767       1         1100101000010100  0000000101100101  
768       1         1100100011100000  1110101111100000  
769       0                     ----              ----  
770       0                     ----              ----  
771       1         1111101101101110  1111101100010100  
772       0                     ----              ----  
773       0                     ----              ----  
774       1         0000010001001100  1111111110011100  
775       1         1111100011111010  0000000011101000  
776       0                     ----              ----  
777       0                     ----              ----  
778       1         1111110000100010  0000001001101101  
779       0                     ----              ----  
780       0                     ----              ----  
781       0                     ----              ----  
782       1         1111110011110000  0000001101100100  
783       1         1111010110000000  0000110111001000  
784       1         1101000001010100  1111111001010000  
785       0                     ----              ----  
786       1         0000101001000011  1111111101110010  
787       1         0010010011101010  1110100010011111  
788       1         0000001000000000  0001110011000000  
